date,num_cycles,avg_cycle_profit,max_cycle_profit
2025-01-01,93,1.0005125762009826,1.0036857856097583
2025-01-02,1064,1.000059828101034,1.002743743572161
2025-01-03,366,1.0000345963537047,1.0002914598832398
